iteration, destination,0->5,0->1,4->5,2->3,1->2,3->4,
1,5,1.0,1.2,1.2,1.2,1.2,1.2,
2,5,1.0,1.4,1.4,1.4,1.4,1.4,
3,5,1.0,1.5999999999999999,1.5999999999999999,1.5999999999999999,1.5999999999999999,1.5999999999999999,
4,5,1.0,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,
5,5,1.0,1.9999999999999998,1.9999999999999998,1.9999999999999998,1.9999999999999998,1.9999999999999998,
6,5,1.0,2.1999999999999997,2.1999999999999997,2.1999999999999997,2.1999999999999997,2.1999999999999997,
7,5,1.0,2.4,2.4,2.4,2.4,2.4,
8,5,1.0,2.6,2.6,2.6,2.6,2.6,
9,5,1.0,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,
10,5,1.0,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,
11,5,1.0,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,
12,5,1.0,3.400000000000001,3.400000000000001,3.400000000000001,3.400000000000001,3.400000000000001,
13,5,1.0,3.600000000000001,3.600000000000001,3.600000000000001,3.600000000000001,3.600000000000001,
14,5,1.0,3.800000000000001,3.800000000000001,3.800000000000001,3.800000000000001,3.800000000000001,
15,5,1.0,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,
16,5,1.0,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,
17,5,1.0,4.400000000000001,4.400000000000001,4.400000000000001,4.400000000000001,4.400000000000001,
18,5,1.0,4.600000000000001,4.600000000000001,4.600000000000001,4.600000000000001,4.600000000000001,
19,5,1.0,4.800000000000002,4.800000000000002,4.800000000000002,4.800000000000002,4.800000000000002,
20,5,1.0,5.000000000000002,5.000000000000002,5.000000000000002,5.000000000000002,5.000000000000002,
21,5,1.0,5.200000000000002,5.200000000000002,5.200000000000002,5.200000000000002,5.200000000000002,
22,5,1.0,5.400000000000002,5.400000000000002,5.400000000000002,5.400000000000002,5.400000000000002,
23,5,1.0,5.600000000000002,5.600000000000002,5.600000000000002,5.600000000000002,5.600000000000002,
24,5,1.0,5.8000000000000025,5.8000000000000025,5.8000000000000025,5.8000000000000025,5.8000000000000025,
25,5,1.0,6.000000000000003,6.000000000000003,6.000000000000003,6.000000000000003,6.000000000000003,
26,5,1.0,6.200000000000003,6.200000000000003,6.200000000000003,6.200000000000003,6.200000000000003,
27,5,1.0,6.400000000000003,6.400000000000003,6.400000000000003,6.400000000000003,6.400000000000003,
28,5,1.0,6.600000000000003,6.600000000000003,6.600000000000003,6.600000000000003,6.600000000000003,
29,5,1.0,6.800000000000003,6.800000000000003,6.800000000000003,6.800000000000003,6.800000000000003,
30,5,1.0,7.0000000000000036,7.0000000000000036,7.0000000000000036,7.0000000000000036,7.0000000000000036,
31,5,1.0,7.200000000000004,7.200000000000004,7.200000000000004,7.200000000000004,7.200000000000004,
32,5,1.0,7.400000000000004,7.400000000000004,7.400000000000004,7.400000000000004,7.400000000000004,
33,5,1.0,7.600000000000004,7.600000000000004,7.600000000000004,7.600000000000004,7.600000000000004,
34,5,1.0,7.800000000000004,7.800000000000004,7.800000000000004,7.800000000000004,7.800000000000004,
35,5,1.0,8.000000000000004,8.000000000000004,8.000000000000004,8.000000000000004,8.000000000000004,
36,5,1.0,8.200000000000003,8.200000000000003,8.200000000000003,8.200000000000003,8.200000000000003,
37,5,1.0,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,
38,5,1.0,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,
39,5,1.0,8.8,8.8,8.8,8.8,8.8,
40,5,1.0,9.0,9.0,9.0,9.0,9.0,
41,5,1.0,9.2,9.2,9.2,9.2,9.2,
42,5,1.0,9.399999999999999,9.399999999999999,9.399999999999999,9.399999999999999,9.399999999999999,
43,5,1.0,9.599999999999998,9.599999999999998,9.599999999999998,9.599999999999998,9.599999999999998,
44,5,1.0,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,
45,5,1.0,9.999999999999996,9.999999999999996,9.999999999999996,9.999999999999996,9.999999999999996,
46,5,1.0,10.199999999999996,10.199999999999996,10.199999999999996,10.199999999999996,10.199999999999996,
47,5,1.0,10.399999999999995,10.399999999999995,10.399999999999995,10.399999999999995,10.399999999999995,
48,5,1.0,10.599999999999994,10.599999999999994,10.599999999999994,10.599999999999994,10.599999999999994,
49,5,1.0,10.799999999999994,10.799999999999994,10.799999999999994,10.799999999999994,10.799999999999994,
50,5,1.0,10.999999999999993,10.999999999999993,10.999999999999993,10.999999999999993,10.999999999999993,
51,5,1.0,11.199999999999992,11.199999999999992,11.199999999999992,11.199999999999992,11.199999999999992,
52,5,1.0,11.399999999999991,11.399999999999991,11.399999999999991,11.399999999999991,11.399999999999991,
53,5,1.0,11.59999999999999,11.59999999999999,11.59999999999999,11.59999999999999,11.59999999999999,
54,5,1.0,11.79999999999999,11.79999999999999,11.79999999999999,11.79999999999999,11.79999999999999,
55,5,1.0,11.99999999999999,11.99999999999999,11.99999999999999,11.99999999999999,11.99999999999999,
56,5,1.0,12.199999999999989,12.199999999999989,12.199999999999989,12.199999999999989,12.199999999999989,
57,5,1.0,12.399999999999988,12.399999999999988,12.399999999999988,12.399999999999988,12.399999999999988,
58,5,1.0,12.599999999999987,12.599999999999987,12.599999999999987,12.599999999999987,12.599999999999987,
